ID,SampleID,Project,Plate,Threshold,E
CT169,K1_2020,Classification,1,2861,1.85
CT170,K1_2020,Classification,1,2861,1.85
CT171,K1_2020,Classification,1,2861,1.85
CT172,K2_2020,Classification,1,2861,1.85
CT173,K2_2020,Classification,1,2861,1.85
CT174,K2_2020,Classification,1,2861,1.85
CT175,M009,Classification,1,2861,1.85
CT176,M009,Classification,1,2861,1.85
CT177,M009,Classification,1,2861,1.85
CT346,FFS2_2020,Classification,3,1556,1.84
CT347,FFS2_2020,Classification,3,1556,1.84
CT348,FFS2_2020,Classification,3,1556,1.84
CT349,FFS1_2020,Classification,3,1556,1.84
CT350,FFS1_2020,Classification,3,1556,1.84
CT351,FFS1_2020,Classification,3,1556,1.84
CT352,PC1,Classification,3,1556,1.84
CT353,PC1,Classification,3,1556,1.84
CT354,PC1,Classification,3,1556,1.84
CT355,CTUM,Classification,3,1556,1.84
CT356,CTUM,Classification,3,1556,1.84
CT357,CTUM,Classification,3,1556,1.84
CT371,NEG,Classification,3,1556,1.84
CT372,NEG,Classification,3,1556,1.84
CT490,K3_2020,Classification,5,1353,1.876
CT491,K3_2020,Classification,5,1353,1.876
CT492,K3_2020,Classification,5,1353,1.876
CT493,K4_2020,Classification,5,1353,1.876
CT494,K4_2020,Classification,5,1353,1.876
CT495,K4_2020,Classification,5,1353,1.876
CT496,KFB_2020,Classification,5,1353,1.876
CT497,KFB_2020,Classification,5,1353,1.876
CT498,KFB_2020,Classification,5,1353,1.876
CT520,FFS3_2020,Classification,5,1353,1.876
CT521,FFS3_2020,Classification,5,1353,1.876
CT522,FFS3_2020,Classification,5,1353,1.876
CT523,FFS4_2020,Classification,5,1353,1.876
CT524,FFS4_2020,Classification,5,1353,1.876
CT525,FFS4_2020,Classification,5,1353,1.876
CT526,FFSFB_2020,Classification,5,1353,1.876
CT527,FFSFB_2020,Classification,5,1353,1.876
CT528,FFSFB_2020,Classification,5,1353,1.876
CT544,PC2,Classification,5,1353,1.876
CT545,PC2,Classification,5,1353,1.876
CT546,PC2,Classification,5,1353,1.876
CT547,CTUM,Classification,5,1353,1.876
CT548,CTUM,Classification,5,1353,1.876
CT549,CTUM,Classification,5,1353,1.876
CT562,NEG,Classification,5,1353,1.876
CT563,NEG,Classification,5,1353,1.876
CT564,NEG,Classification,5,1353,1.876
CT565,H31A,Classification,6,2005,1.807
CT566,H31A,Classification,6,2005,1.807
CT567,H31A,Classification,6,2005,1.807
CT568,H31B,Classification,6,2005,1.807
CT569,H31B,Classification,6,2005,1.807
CT570,H31B,Classification,6,2005,1.807
CT571,HMETCA,Classification,6,2005,1.807
CT572,HMETCA,Classification,6,2005,1.807
CT573,HMETCA,Classification,6,2005,1.807
CT574,HMETCB,Classification,6,2005,1.807
CT575,HMETCB,Classification,6,2005,1.807
CT576,HMETCB,Classification,6,2005,1.807
CT577,HSIOA,Classification,6,2005,1.807
CT578,HSIOA,Classification,6,2005,1.807
CT579,HSIOA,Classification,6,2005,1.807
CT580,HSIOB,Classification,6,2005,1.807
CT581,HSIOB,Classification,6,2005,1.807
CT582,HSIOB,Classification,6,2005,1.807
CT583,HSIIA,Classification,6,2005,1.807
CT584,HSIIA,Classification,6,2005,1.807
CT585,HSIIA,Classification,6,2005,1.807
CT586,HFB,Classification,6,2005,1.807
CT587,HFB,Classification,6,2005,1.807
CT588,HFB,Classification,6,2005,1.807
CT589,KBOA,Classification,6,2005,1.807
CT590,KBOA,Classification,6,2005,1.807
CT591,KBOA,Classification,6,2005,1.807
CT592,KBOB,Classification,6,2005,1.807
CT593,KBOB,Classification,6,2005,1.807
CT594,KBOB,Classification,6,2005,1.807
CT595,KPPA,Classification,6,2005,1.807
CT596,KPPA,Classification,6,2005,1.807
CT597,KPPA,Classification,6,2005,1.807
CT598,KPPB,Classification,6,2005,1.807
CT599,KPPB,Classification,6,2005,1.807
CT600,KPPB,Classification,6,2005,1.807
CT601,KBAA,Classification,6,2005,1.807
CT602,KBAA,Classification,6,2005,1.807
CT603,KBAA,Classification,6,2005,1.807
CT604,KBAB,Classification,6,2005,1.807
CT605,KBAB,Classification,6,2005,1.807
CT606,KBAB,Classification,6,2005,1.807
CT607,KFB,Classification,6,2005,1.807
CT608,KFB,Classification,6,2005,1.807
CT609,KFB,Classification,6,2005,1.807
CT610,FCCA,Classification,6,2005,1.807
CT611,FCCA,Classification,6,2005,1.807
CT612,FCCA,Classification,6,2005,1.807
CT613,FCCB,Classification,6,2005,1.807
CT614,FCCB,Classification,6,2005,1.807
CT615,FCCB,Classification,6,2005,1.807
CT616,FAMA,Classification,6,2005,1.807
CT617,FAMA,Classification,6,2005,1.807
CT618,FAMA,Classification,6,2005,1.807
CT619,FAMB,Classification,6,2005,1.807
CT620,FAMB,Classification,6,2005,1.807
CT621,FAMB,Classification,6,2005,1.807
CT622,FOESA,Classification,6,2005,1.807
CT623,FOESA,Classification,6,2005,1.807
CT624,FOESA,Classification,6,2005,1.807
CT625,FOESB,Classification,6,2005,1.807
CT626,FOESB,Classification,6,2005,1.807
CT627,FOESB,Classification,6,2005,1.807
CT628,FFB,Classification,6,2005,1.807
CT629,FFB,Classification,6,2005,1.807
CT630,FFB,Classification,6,2005,1.807
CT643,CTUM,Classification,6,2005,1.807
CT644,CTUM,Classification,6,2005,1.807
CT645,CTUM,Classification,6,2005,1.807
CT658,NEG,Classification,6,2005,1.807
CT659,NEG,Classification,6,2005,1.807
CT660,NEG,Classification,6,2005,1.807
CT661,KHRGA,Classification,7,1261,1.805
CT662,KHRGA,Classification,7,1261,1.805
CT663,KHRGA,Classification,7,1261,1.805
CT664,KHRGB,Classification,7,1261,1.805
CT665,KHRGB,Classification,7,1261,1.805
CT666,KHRGB,Classification,7,1261,1.805
CT667,HSIIB,Classification,7,1261,1.805
CT668,HSIIB,Classification,7,1261,1.805
CT669,HSIIB,Classification,7,1261,1.805
CT670,FBMA,Classification,7,1261,1.805
CT671,FBMA,Classification,7,1261,1.805
CT672,FBMA,Classification,7,1261,1.805
CT673,FBMB,Classification,7,1261,1.805
CT674,FBMB,Classification,7,1261,1.805
CT675,FBMB,Classification,7,1261,1.805
CT676,HKMA,Classification,7,1261,1.805
CT677,HKMA,Classification,7,1261,1.805
CT678,HKMA,Classification,7,1261,1.805
CT679,HKMB,Classification,7,1261,1.805
CT680,HKMB,Classification,7,1261,1.805
CT681,HKMB,Classification,7,1261,1.805
CT682,HKNA,Classification,7,1261,1.805
